geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
FSCN1	-1.79661286328021	9.64803300896405	-12.6324409562724	1.34283561128403e-11	1.01278997169322e-08	16.6186562784558
NCKIPSD	-0.847853716836234	7.68377818582029	-12.5302466331592	1.573807595689e-11	1.16173788776243e-08	16.4677108991444
C1ORF165	-1.26061337044083	7.25589624400654	-12.4744589560368	1.71696435002263e-11	1.24100752416011e-08	16.3848412906658
DARS	-0.513205318402195	12.0144654050244	-12.3268227852016	2.16493738275414e-11	1.53286403178106e-08	16.1639235450062
P2RY11	-1.25292934151347	8.67261173917749	-12.2524436257769	2.43509944712581e-11	1.68966680437166e-08	16.051731381596
RASSF1	-0.569691644662102	8.06249758433296	-12.1794863767717	2.73425855271512e-11	1.81612703149874e-08	15.9410971669417
SLC25A20	0.526325050647779	7.64008901870278	12.1729300671059	2.76294954656254e-11	1.81612703149874e-08	15.9311264243511
ALKBH5	-0.753659913035856	11.8958417703653	-12.1703351571945	2.77439132614957e-11	1.81612703149874e-08	15.9271788168195
HSPBAP1	0.476459264692748	7.09870014499197	12.1280198928658	2.96808020982991e-11	1.90693657036739e-08	15.8627004504774
INSIG2	-1.6129758761098	8.95655888026365	-12.0940235200988	3.13384461845159e-11	1.97682918531926e-08	15.810754928866
SLC2A1	-1.26514045394013	10.0846203076736	-11.9804212082309	3.76103360353927e-11	2.33009464002128e-08	15.636243301169
RNMT	-0.78603873187182	8.8120976016695	-11.9272671656104	4.09799114967697e-11	2.49431061310338e-08	15.5540953172325
LOC644774	-1.52887600012699	11.6334172614496	-11.7868311204401	5.14778654903832e-11	3.07926390572992e-08	15.3355245966459
PTPMT1	0.545988044630231	9.33976677035484	11.6130342104323	6.84560223830652e-11	4.0254461704374e-08	15.0619237668845
GBE1	-1.6279328099159	8.63593641030109	-11.5672491623302	7.38327274675206e-11	4.2692544112636e-08	14.9892682763788
CCDC64B	-0.636682125447831	6.88638763846568	-11.5141288052669	8.06243198431218e-11	4.58554123383158e-08	14.9046680532981
LOC146439	-0.707108749499609	7.00463796028428	-11.4400976157539	9.11888508929331e-11	5.10275160141842e-08	14.786216787261
C20ORF20	-0.529412139504533	9.69908590885166	-11.2848303841373	1.18281103019831e-10	6.46835793677765e-08	14.5356966000918
