geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PNCK	1.65266012471162	7.44345022676752	10.3067928008143	6.78280527253333e-10	8.71565356019524e-07	12.6903116773084
LOC731007	0.756046180659495	7.15424814796558	10.2316729234373	7.75961248527833e-10	9.51815045964383e-07	12.5653813761657
AP3S1	1.26920387660872	9.40741500042848	10.2177565229293	7.95602592176374e-10	9.51815045964383e-07	12.5421542853664
HPCAL1	0.863066883627628	9.95811803961206	10.1922243816043	8.32989394428042e-10	9.63324468342883e-07	12.4994723378312
SLC2A1	1.41149519017787	10.0846203076736	10.1116293852323	9.6341119066075e-10	1.0782125112511e-06	12.3641657862643
PSMG3	-0.482323265029788	7.47080003569782	-10.0225125360424	1.13253847379836e-09	1.22788405656126e-06	12.2135285632199
RASSF1	0.566592086979732	8.06249758433296	9.79752427224029	1.7109068734389e-09	1.79873342627543e-06	11.8283954703213
VEZT	0.407716342364056	7.72276591871831	9.73761158694177	1.91155830602368e-09	1.95057658438781e-06	11.7246614883743
MGST2	0.770234150677226	10.1705118108701	9.72149616809735	1.96958388603745e-09	1.95236409549095e-06	11.6966739753137
P2RY11	1.24063807800903	8.67261173917749	9.65490240431099	2.2293940072133e-09	2.14851654684051e-06	11.5806380276841
OXSM	0.52692328951198	7.7023006009576	9.60580840022802	2.44348488183035e-09	2.25613767716243e-06	11.494698296388
FAM57A	1.52990103460799	7.9811043155069	9.59458641513475	2.49534461750491e-09	2.25613767716243e-06	11.4750067219286
PTPMT1	-0.552600094635119	9.33976677035484	-9.58592382224256	2.5361552259565e-09	2.25613767716243e-06	11.4597941314808
MT3	3.22287626328842	8.64443971224294	9.54709223307559	2.72776604969497e-09	2.36592788320293e-06	11.391471722145
ALKBH5	0.808974344027677	11.8958417703653	9.39780212652039	3.61553595035026e-09	3.05944888442566e-06	11.1268257689198
UPK1A	1.70285429841037	7.70441157973708	9.35210329047463	3.9434047170722e-09	3.25744007747864e-06	11.0451855837605
PPP1R13L	0.936577844100927	7.13110845383476	9.33264111061036	4.09223897677973e-09	3.30177067582316e-06	11.0103267042748
DDX5	-0.689054945362429	11.4743250680495	-9.28756148314865	4.45972817050348e-09	3.51124583835148e-06	10.9293772253968
ZNF654	0.261837848345427	6.90028663743637	9.27211898610596	4.59333066268473e-09	3.51124583835148e-06	10.9015805579112
