geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC144383	-0.419248189100561	6.61098902048383	-5.53335157302616	1.99592348013349e-05	0.616291062250853	0.398066925795933
HS.565029	0.26847978490994	6.59634947385625	5.06252310444186	5.84065423083338e-05	0.616291062250853	-0.113857365439309
C19ORF10	0.561107289043484	9.37493152058622	5.02870341396981	6.31382626866805e-05	0.616291062250853	-0.151985652194614
LOC646424	0.195140256146122	6.49779215823967	4.92339234106426	8.05176272662638e-05	0.616291062250853	-0.271842568447962
DHRS9	0.734664027910941	7.11343763094659	4.84015189891343	9.76363966351102e-05	0.616291062250853	-0.367771474854494
ARAF	-0.418918145548368	8.78894013239348	-4.77203436731892	0.000114360393983269	0.616291062250853	-0.447038853954891
PCK2	0.641741980555554	7.85063151389334	4.53825159987598	0.000197167609993946	0.616291062250853	-0.724142129991417
RASGRP1	-0.86670760772698	9.19435120109114	-4.48616755319772	0.000222688419194926	0.616291062250853	-0.786900109229987
P2RY5	-0.820433780306573	8.64410210826752	-4.47385934193594	0.000229190543952858	0.616291062250853	-0.801782979223655
GARS	0.880558630745002	11.2785973793388	4.45492342115214	0.000239569282864529	0.616291062250853	-0.824718466641566
HS.187816	0.220026038310843	6.51778172685226	4.45096486506421	0.000241798065672037	0.616291062250853	-0.829518998402065
GPATCH8	-0.295076610533493	6.78111543892994	-4.44344669502671	0.00024608864339186	0.616291062250853	-0.838641822828125
ZFP62	-0.27346884980884	6.78419218113738	-4.42420843821368	0.00025742001046345	0.616291062250853	-0.862019216193429
KEAP1	0.305753837943618	8.23045620953851	4.41814218669052	0.000261100810831693	0.616291062250853	-0.869400411846522
CD300C	0.199294247661286	6.57166032026622	4.40947103030267	0.000266454312957941	0.616291062250853	-0.879959257868158
PERP	0.85657860037973	7.51262072196617	4.35702861803514	0.000301268503768825	0.636707590927639	-0.944018909823375
HS.572124	0.184589452703808	6.62585055655679	4.34210677934419	0.000311985618428831	0.636707590927639	-0.96230835316118
ELA3A	-0.140022448206953	6.5313565533218	-4.25207810966605	0.000385276973253506	0.723629016783174	-1.07322063327375
LOC732157	0.201424900988129	6.60016132465708	4.23915326112153	0.000397131619348099	0.723629016783174	-1.08922132377
AADACL1	0.493273589607497	7.63158695537275	4.21818220184479	0.00041714937267722	0.723629016783174	-1.1152234327614
ZFAND2B	-0.515274726746128	8.91391733054154	-4.06361252361479	0.000599447002607914	0.968754115239166	-1.30834571768038
CD47	-0.495829836467706	8.32698821986011	-4.05317665675041	0.000614301912009617	0.968754115239166	-1.32147317839111
PDIA6	0.423075158625009	8.8836504139305	4.01518011461383	0.000671561905468392	0.974058930072592	-1.36935877306647
PGBD1	0.338333555827814	6.84603332133686	3.99793599900484	0.000699276862588541	0.974058930072592	-1.3911359778995
IARS	0.63927616415352	8.76464937688923	3.96969426034115	0.000747152820358549	0.974058930072592	-1.42686089656721
AP1GBP1	-0.228869764260272	6.75852683915013	-3.96223975565486	0.000760326069369914	0.974058930072592	-1.43630261132392
LOC729273	-0.232890983284102	6.53760687255188	-3.9564755696191	0.000770670762901999	0.974058930072592	-1.4436067871286
LOC728473	0.200313617370864	6.51642463802649	3.94656412278081	0.000788787320707915	0.974058930072592	-1.45617306227941
HS.559234	0.164533523551925	6.58347480498291	3.90402839145024	0.000871477103937582	0.974058930072592	-1.51019807189907
ATP6V1G1	-0.462482211508179	10.5215843933406	-3.90290686059828	0.000873770356242471	0.974058930072592	-1.51162459629777
HS.323190	0.151461578651923	6.646665037046	3.84937749807867	0.000990497889496811	0.974058930072592	-1.57982878548484
LOC728143	0.216828719233553	6.68642929244138	3.83125180832965	0.00103343754458792	0.974058930072592	-1.60297411912633
LOC732428	-0.182235299692439	6.5296859604664	-3.80744455324167	0.00109265817619369	0.974058930072592	-1.63341151718331
SPATS2L	0.925642254940493	8.51444520068613	3.79296261709005	0.00113031784947255	0.974058930072592	-1.65194655287218
LOC284023	-0.738943728347812	7.61617571592046	-3.78993072203871	0.00113836379262701	0.974058930072592	-1.65582886405393
MTHFD1L	0.93259800834092	8.62317876722871	3.78860042024645	0.00114191202093571	0.974058930072592	-1.65753250449457
HS.571207	-0.262069147013467	6.78808185044809	-3.76635657517678	0.00120289379685684	0.974058930072592	-1.68603691595013
SDK2	-0.396213615360336	6.84381728763562	-3.74862692069299	0.00125380412524361	0.974058930072592	-1.70878036187429
PNPLA7	-1.01476536634786	8.29858138657069	-3.74776171649758	0.00125634248592191	0.974058930072592	-1.70989076415321
TMCO3	0.562015182476034	7.85935964274544	3.73417316603762	0.00129688374177204	0.974058930072592	-1.72733658841774
LOC650638	0.187115323369964	6.56022293146074	3.73140893285858	0.00130528813089218	0.974058930072592	-1.73088691435089
CLEC3B	0.191642503300698	6.56737402472641	3.72431637253071	0.00132710006730294	0.974058930072592	-1.73999863789608
TMEM116	-0.601350601725857	8.10734245662064	-3.70318930224788	0.00139423509409982	0.974058930072592	-1.76715853197785
SLC9A3	-0.162286517087553	6.62493312573963	-3.69825526378969	0.00141039206612121	0.974058930072592	-1.77350532072714
LOC100128585	-0.175964659295444	6.8579801322108	-3.67117555961142	0.00150242284400549	0.974058930072592	-1.80836358369026
MPDZ	-0.237188441746571	6.56588800166072	-3.64431650544977	0.00159956655863787	0.974058930072592	-1.84297758324631
MS4A13	-0.163392685994011	6.57062238363674	-3.6310074830635	0.00164997772712471	0.974058930072592	-1.86014317333446
C6ORF190	-0.834855903291803	9.1659156358843	-3.61098846937925	0.0017287748745189	0.974058930072592	-1.88597955453112
