	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
ACPL2	0	0	0	0x0x0
ACPP	0	0	0	0x0x0
ACPT	0	0	0	0x0x0
ACR	0	0	0	0x0x0
ACRBP	0	0	0	0x0x0
ACRC	0	0	0	0x0x0
ACRV1	0	0	0	0x0x0
ACSBG1	0	0	0	0x0x0
ACSBG2	0	0	0	0x0x0
ACSF2	0	0	0	0x0x0
ACSF3	0	0	0	0x0x0
ACSL1	0	0	0	0x0x0
ACSL3	0	-1	0	0x1x0
ACSL4	0	0	0	0x0x0
ACSL5	0	0	0	0x0x0
ACSL6	0	0	0	0x0x0
ACSM1	0	0	0	0x0x0
ACSM2A	0	0	0	0x0x0
ACSM2B	0	0	0	0x0x0
ACSM3	0	0	0	0x0x0
ACSM4	0	0	0	0x0x0
ACSM5	0	0	0	0x0x0
ACSS1	0	0	0	0x0x0
ACSS2	0	0	0	0x0x0
ACSS3	0	0	0	0x0x0
ACTA1	0	0	0	0x0x0
ACTA2	0	0	0	0x0x0
ACTB	0	0	0	0x0x0
ACTBL2	0	0	0	0x0x0
ACTC1	0	0	0	0x0x0
ACTG1	0	0	0	0x0x0
ACTG2	0	0	0	0x0x0
ACTL6A	0	0	0	0x0x0
ACTL6B	0	0	0	0x0x0
ACTL7A	0	0	0	0x0x0
ACTL7B	0	0	0	0x0x0
ACTL8	0	0	0	0x0x0
ACTN1	0	0	0	0x0x0
ACTN2	0	0	0	0x0x0
ACTN3	0	0	0	0x0x0
ACTN4	0	0	0	0x0x0
ACTR10	0	-1	0	0x1x0
ACTR1A	-1	-1	0	1x1x0
ACTR1B	0	0	0	0x0x0
ACTR2	0	0	0	0x0x0
ACTR3	0	0	0	0x0x0
ACTR3B	0	0	0	0x0x0
ACTR5	0	0	0	0x0x0
ACTR6	0	0	0	0x0x0
ACTR8	0	0	0	0x0x0
ACTRT1	0	-1	0	0x1x0
ACTRT2	0	0	0	0x0x0
ACVR1	0	0	0	0x0x0
ACVR1B	0	0	0	0x0x0
