	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
HS.435263	0	0	0	0x0x0
HS.435279	0	0	0	0x0x0
HS.435523	0	0	0	0x0x0
HS.435758	0	0	0	0x0x0
HS.436006	0	0	0	0x0x0
HS.436046	0	0	0	0x0x0
HS.436053	0	0	0	0x0x0
HS.436107	0	0	0	0x0x0
HS.436134	0	0	0	0x0x0
HS.436138	0	0	0	0x0x0
HS.436189	0	0	0	0x0x0
HS.436307	0	0	0	0x0x0
HS.436323	0	0	0	0x0x0
HS.436379	0	0	0	0x0x0
HS.436448	0	0	0	0x0x0
HS.436572	0	0	0	0x0x0
HS.436592	0	0	0	0x0x0
HS.436627	0	0	0	0x0x0
HS.436654	0	0	0	0x0x0
HS.436661	0	0	0	0x0x0
HS.436679	0	0	0	0x0x0
HS.436863	0	0	0	0x0x0
HS.436868	0	0	0	0x0x0
HS.436879	0	0	0	0x0x0
HS.436979	0	0	0	0x0x0
HS.437111	1	1	0	1x1x0
HS.437160	0	0	0	0x0x0
HS.437179	0	0	0	0x0x0
HS.437395	0	0	0	0x0x0
HS.437760	0	0	0	0x0x0
HS.438273	0	0	0	0x0x0
HS.438365	0	0	0	0x0x0
HS.438858	0	0	0	0x0x0
HS.438905	0	0	0	0x0x0
HS.438937	0	0	0	0x0x0
HS.438979	0	0	0	0x0x0
HS.439031	0	0	0	0x0x0
HS.439363	0	0	0	0x0x0
HS.43938	0	0	0	0x0x0
HS.439578	0	0	0	0x0x0
HS.439870	0	0	0	0x0x0
HS.440088	0	0	0	0x0x0
HS.440343	0	0	0	0x0x0
HS.440518	0	0	0	0x0x0
HS.440533	0	0	0	0x0x0
HS.440548	0	0	0	0x0x0
HS.441076	0	0	0	0x0x0
HS.441195	0	0	0	0x0x0
HS.441213	0	0	0	0x0x0
HS.441560	0	0	0	0x0x0
HS.441614	0	0	0	0x0x0
HS.441742	0	0	0	0x0x0
HS.441813	0	0	0	0x0x0
HS.442098	0	0	0	0x0x0
HS.442427	0	0	0	0x0x0
HS.442504	0	0	0	0x0x0
HS.442696	0	0	0	0x0x0
HS.442773	0	0	0	0x0x0
HS.443067	0	0	0	0x0x0
HS.443123	0	0	0	0x0x0
HS.443185	0	0	0	0x0x0
HS.443377	0	0	0	0x0x0
HS.443436	0	0	0	0x0x0
HS.443490	0	0	0	0x0x0
HS.443534	0	0	0	0x0x0
HS.443602	0	0	0	0x0x0
HS.443853	0	0	0	0x0x0
HS.443993	0	0	0	0x0x0
HS.444092	0	0	0	0x0x0
HS.444133	0	0	0	0x0x0
HS.444152	0	0	0	0x0x0
HS.444193	0	0	0	0x0x0
HS.444249	0	-1	0	0x1x0
HS.444291	0	0	0	0x0x0
HS.444329	0	0	0	0x0x0
HS.444348	0	0	0	0x0x0
HS.444411	0	0	0	0x0x0
HS.444475	0	0	0	0x0x0
HS.444550	0	0	0	0x0x0
HS.444587	0	0	0	0x0x0
HS.444683	0	0	0	0x0x0
HS.444692	0	0	0	0x0x0
HS.444785	0	0	0	0x0x0
HS.444839	0	0	0	0x0x0
HS.444855	0	0	0	0x0x0
HS.444913	0	0	0	0x0x0
HS.444939	0	0	0	0x0x0
HS.444999	0	0	0	0x0x0
HS.445036	0	0	0	0x0x0
HS.445079	0	0	0	0x0x0
HS.445121	0	0	0	0x0x0
HS.445179	0	0	0	0x0x0
HS.445239	0	0	0	0x0x0
HS.445274	0	0	0	0x0x0
HS.445277	0	0	0	0x0x0
HS.445343	0	0	0	0x0x0
HS.445365	0	0	0	0x0x0
HS.445391	0	0	0	0x0x0
HS.445414	0	0	0	0x0x0
HS.445442	0	0	0	0x0x0
HS.445500	0	0	0	0x0x0
HS.445581	0	0	0	0x0x0
HS.445843	0	0	0	0x0x0
HS.446266	0	0	0	0x0x0
HS.446301	0	0	0	0x0x0
HS.44650	0	0	0	0x0x0
HS.446671	0	0	0	0x0x0
HS.44690	0	0	0	0x0x0
HS.447508	0	0	0	0x0x0
HS.447703	0	0	0	0x0x0
HS.447737	0	0	0	0x0x0
HS.447944	0	0	0	0x0x0
HS.448059	0	0	0	0x0x0
HS.44811	0	0	0	0x0x0
HS.448702	0	0	0	0x0x0
HS.448871	0	0	0	0x0x0
HS.449276	0	0	0	0x0x0
HS.449297	0	0	0	0x0x0
HS.44984	0	0	0	0x0x0
HS.450769	0	0	0	0x0x0
HS.450953	0	0	0	0x0x0
HS.451632	0	0	0	0x0x0
HS.452398	0	0	0	0x0x0
HS.452445	0	0	0	0x0x0
HS.452702	0	0	0	0x0x0
HS.453381	0	0	0	0x0x0
HS.454202	0	0	0	0x0x0
HS.454935	0	0	0	0x0x0
HS.456944	0	0	0	0x0x0
HS.458448	0	0	0	0x0x0
HS.459104	0	0	0	0x0x0
HS.459805	0	0	0	0x0x0
HS.460114	0	0	0	0x0x0
HS.461694	0	0	0	0x0x0
HS.461819	0	0	0	0x0x0
HS.462257	0	0	0	0x0x0
HS.462808	0	0	0	0x0x0
HS.463420	0	0	0	0x0x0
HS.463489	0	0	0	0x0x0
HS.463736	0	0	0	0x0x0
HS.463996	0	0	0	0x0x0
HS.464836	0	0	0	0x0x0
HS.46506	0	1	0	0x1x0
HS.46555	0	0	0	0x0x0
HS.466840	0	0	0	0x0x0
HS.46689	0	0	0	0x0x0
HS.46693	0	0	0	0x0x0
HS.467586	0	0	0	0x0x0
HS.467627	0	0	0	0x0x0
HS.46839	0	0	0	0x0x0
HS.46879	0	0	0	0x0x0
HS.469046	0	0	0	0x0x0
HS.470804	0	0	0	0x0x0
HS.471011	0	0	0	0x0x0
HS.47141	0	0	0	0x0x0
HS.473191	0	1	0	0x1x0
HS.473255	0	0	0	0x0x0
HS.473425	0	0	0	0x0x0
HS.47453	0	0	0	0x0x0
HS.474713	0	0	0	0x0x0
HS.474880	0	0	0	0x0x0
HS.475334	0	1	0	0x1x0
HS.475353	0	0	0	0x0x0
HS.475950	0	0	0	0x0x0
HS.47702	0	0	0	0x0x0
HS.477876	0	0	0	0x0x0
HS.478137	0	0	0	0x0x0
HS.478682	0	0	0	0x0x0
HS.479551	0	0	0	0x0x0
HS.47995	0	0	0	0x0x0
HS.481464	0	0	0	0x0x0
HS.481659	0	0	0	0x0x0
HS.482589	0	0	0	0x0x0
HS.482960	0	1	0	0x1x0
HS.483183	0	0	0	0x0x0
HS.483906	0	0	0	0x0x0
HS.484967	0	0	0	0x0x0
HS.485155	0	0	0	0x0x0
HS.485841	0	0	0	0x0x0
HS.486010	0	0	0	0x0x0
HS.486398	0	0	0	0x0x0
HS.48706	0	0	0	0x0x0
HS.48729	0	0	0	0x0x0
HS.487766	0	0	0	0x0x0
HS.4892	0	0	0	0x0x0
HS.489254	0	0	0	0x0x0
HS.489857	0	0	0	0x0x0
HS.489952	0	0	0	0x0x0
HS.490417	0	0	0	0x0x0
HS.49063	0	0	0	0x0x0
HS.491292	0	0	0	0x0x0
HS.491339	0	0	0	0x0x0
HS.491799	0	0	0	0x0x0
HS.49181	0	0	0	0x0x0
HS.492066	0	0	0	0x0x0
HS.492187	0	0	0	0x0x0
HS.492496	0	0	0	0x0x0
HS.493016	0	0	0	0x0x0
HS.493239	0	0	0	0x0x0
HS.493947	0	0	0	0x0x0
HS.494628	0	0	0	0x0x0
HS.494932	0	0	0	0x0x0
HS.495041	0	0	0	0x0x0
HS.495080	0	0	0	0x0x0
HS.495112	-1	0	0	1x0x0
HS.496187	0	0	0	0x0x0
HS.496730	0	0	0	0x0x0
HS.496897	0	0	0	0x0x0
HS.497235	0	0	0	0x0x0
HS.497591	0	0	0	0x0x0
HS.498025	0	0	0	0x0x0
HS.4986	0	0	0	0x0x0
HS.4988	0	0	0	0x0x0
HS.499716	0	0	0	0x0x0
HS.50125	0	0	0	0x0x0
HS.501656	0	0	0	0x0x0
HS.504036	0	0	0	0x0x0
HS.504674	0	0	0	0x0x0
HS.505141	0	0	0	0x0x0
HS.505364	-1	0	0	1x0x0
HS.505398	0	0	0	0x0x0
HS.505676	0	0	0	0x0x0
HS.50571	0	0	0	0x0x0
HS.505855	0	0	0	0x0x0
HS.507449	0	0	0	0x0x0
HS.508682	0	0	0	0x0x0
HS.508889	0	0	0	0x0x0
HS.509146	0	0	0	0x0x0
HS.509165	0	0	0	0x0x0
HS.509267	0	0	0	0x0x0
HS.510638	0	0	0	0x0x0
HS.511717	0	0	0	0x0x0
HS.511718	0	0	0	0x0x0
HS.511723	0	0	0	0x0x0
HS.512087	0	0	0	0x0x0
HS.512090	0	0	0	0x0x0
HS.512096	0	0	0	0x0x0
HS.512106	0	0	0	0x0x0
HS.512276	0	0	0	0x0x0
HS.512285	0	0	0	0x0x0
HS.512470	0	0	0	0x0x0
HS.513000	0	0	0	0x0x0
HS.513108	0	0	0	0x0x0
HS.513455	0	0	0	0x0x0
HS.513580	0	0	0	0x0x0
HS.513842	0	0	0	0x0x0
HS.513971	0	0	0	0x0x0
HS.514440	0	0	0	0x0x0
HS.514453	0	0	0	0x0x0
HS.514454	0	0	0	0x0x0
HS.514893	0	0	0	0x0x0
HS.514958	0	0	0	0x0x0
HS.515159	0	0	0	0x0x0
HS.515779	0	0	0	0x0x0
HS.515946	0	0	0	0x0x0
HS.515967	0	0	0	0x0x0
HS.516049	0	0	0	0x0x0
HS.516314	0	0	0	0x0x0
HS.516420	0	0	0	0x0x0
HS.516517	0	0	0	0x0x0
HS.516646	0	0	0	0x0x0
HS.516721	0	0	0	0x0x0
HS.516729	0	0	0	0x0x0
HS.516741	0	0	0	0x0x0
HS.518008	0	0	0	0x0x0
HS.518354	0	0	0	0x0x0
HS.518426	0	0	0	0x0x0
HS.518527	0	0	0	0x0x0
HS.518678	0	0	0	0x0x0
HS.518926	0	0	0	0x0x0
HS.519022	0	0	0	0x0x0
HS.519129	0	0	0	0x0x0
HS.519206	0	0	0	0x0x0
HS.519225	0	0	0	0x0x0
HS.519298	0	0	0	0x0x0
HS.519532	0	0	0	0x0x0
HS.519644	0	0	0	0x0x0
HS.519750	0	0	0	0x0x0
HS.520328	0	0	0	0x0x0
HS.520349	0	0	0	0x0x0
HS.520420	0	0	0	0x0x0
HS.520436	0	0	0	0x0x0
HS.520591	0	0	0	0x0x0
HS.520750	0	0	0	0x0x0
HS.520926	0	0	0	0x0x0
HS.521268	0	0	0	0x0x0
HS.521310	0	0	0	0x0x0
HS.521338	0	1	0	0x1x0
HS.521600	0	0	0	0x0x0
HS.521720	0	0	0	0x0x0
HS.521785	0	0	0	0x0x0
HS.521794	0	0	0	0x0x0
HS.522428	0	0	0	0x0x0
HS.522635	0	0	0	0x0x0
HS.522790	0	0	0	0x0x0
HS.522924	0	0	0	0x0x0
HS.522935	0	0	0	0x0x0
HS.523127	0	0	0	0x0x0
HS.523235	0	0	0	0x0x0
HS.523508	0	0	0	0x0x0
HS.523705	0	0	0	0x0x0
HS.524108	0	0	0	0x0x0
HS.524129	0	0	0	0x0x0
HS.524256	0	0	0	0x0x0
HS.524845	0	0	0	0x0x0
HS.524847	0	0	0	0x0x0
HS.524873	0	0	0	0x0x0
HS.525015	0	0	0	0x0x0
HS.525171	0	0	0	0x0x0
HS.525400	0	0	0	0x0x0
HS.525436	0	0	0	0x0x0
HS.525917	0	0	0	0x0x0
HS.525922	0	0	0	0x0x0
HS.525926	0	0	0	0x0x0
HS.525976	0	0	0	0x0x0
HS.526484	0	0	0	0x0x0
HS.526491	0	0	0	0x0x0
HS.526528	0	0	0	0x0x0
HS.526540	0	0	0	0x0x0
HS.526748	0	0	0	0x0x0
HS.526759	0	0	0	0x0x0
HS.526831	0	0	0	0x0x0
HS.526948	0	0	0	0x0x0
HS.527071	-1	0	0	1x0x0
HS.527174	0	0	0	0x0x0
HS.527194	0	0	0	0x0x0
HS.527241	0	0	0	0x0x0
HS.527387	0	0	0	0x0x0
HS.527515	0	0	0	0x0x0
HS.527535	0	0	0	0x0x0
HS.527657	0	0	0	0x0x0
HS.527669	0	0	0	0x0x0
HS.527671	0	0	0	0x0x0
HS.527684	0	0	0	0x0x0
HS.527758	0	0	0	0x0x0
HS.527876	0	0	0	0x0x0
HS.527885	0	0	0	0x0x0
HS.527954	0	0	0	0x0x0
HS.528160	0	0	0	0x0x0
HS.528168	0	0	0	0x0x0
HS.528210	0	0	0	0x0x0
HS.528284	0	0	0	0x0x0
HS.528452	0	0	0	0x0x0
HS.528854	0	0	0	0x0x0
HS.528873	0	0	0	0x0x0
HS.529284	0	0	0	0x0x0
HS.529324	0	0	0	0x0x0
HS.529442	0	0	0	0x0x0
HS.529499	0	0	0	0x0x0
HS.529514	0	0	0	0x0x0
HS.529542	0	0	0	0x0x0
HS.529590	0	0	0	0x0x0
HS.529631	0	1	0	0x1x0
HS.529633	0	0	0	0x0x0
HS.529743	0	0	0	0x0x0
HS.529962	0	0	0	0x0x0
HS.530149	0	0	0	0x0x0
HS.530359	0	0	0	0x0x0
HS.530910	0	0	0	0x0x0
HS.531363	0	0	0	0x0x0
HS.531407	0	0	0	0x0x0
HS.531457	0	0	0	0x0x0
HS.531817	0	0	0	0x0x0
HS.531984	0	0	0	0x0x0
HS.532001	0	0	0	0x0x0
HS.532515	0	0	0	0x0x0
HS.532698	0	0	0	0x0x0
HS.532720	0	0	0	0x0x0
HS.533562	0	0	0	0x0x0
HS.533844	0	0	0	0x0x0
HS.533945	0	0	0	0x0x0
HS.534061	0	0	0	0x0x0
HS.534427	0	0	0	0x0x0
HS.534437	0	0	0	0x0x0
HS.534439	0	-1	0	0x1x0
HS.534445	0	0	0	0x0x0
HS.534585	0	0	0	0x0x0
HS.534641	0	0	0	0x0x0
HS.534658	0	0	0	0x0x0
HS.534680	0	0	0	0x0x0
HS.534704	0	0	0	0x0x0
HS.534809	0	0	0	0x0x0
HS.534913	0	0	0	0x0x0
HS.534945	0	0	0	0x0x0
HS.534997	0	0	0	0x0x0
HS.535028	0	0	0	0x0x0
HS.535044	0	0	0	0x0x0
HS.535360	0	0	0	0x0x0
HS.535372	0	0	0	0x0x0
HS.535392	0	0	0	0x0x0
HS.535394	0	0	0	0x0x0
HS.535454	0	0	0	0x0x0
HS.535592	0	0	0	0x0x0
HS.535718	0	0	0	0x0x0
HS.535906	0	0	0	0x0x0
HS.536125	0	0	0	0x0x0
HS.536336	0	0	0	0x0x0
HS.536417	0	0	0	0x0x0
HS.536451	0	0	0	0x0x0
HS.536620	0	0	0	0x0x0
HS.536664	0	0	0	0x0x0
HS.536734	0	0	0	0x0x0
HS.536748	0	0	0	0x0x0
HS.536770	0	0	0	0x0x0
HS.536992	0	0	0	0x0x0
HS.537002	0	0	0	0x0x0
HS.537004	0	0	0	0x0x0
HS.537103	0	0	0	0x0x0
HS.537109	0	0	0	0x0x0
HS.537149	0	0	0	0x0x0
HS.537150	0	0	0	0x0x0
HS.537217	0	0	0	0x0x0
HS.537363	0	0	0	0x0x0
HS.537371	0	0	0	0x0x0
HS.537387	0	0	0	0x0x0
HS.537432	0	0	0	0x0x0
HS.537451	0	0	0	0x0x0
HS.537478	0	0	0	0x0x0
HS.537591	0	0	0	0x0x0
HS.537594	0	0	0	0x0x0
HS.537603	0	0	0	0x0x0
HS.537608	0	0	0	0x0x0
HS.537638	0	0	0	0x0x0
HS.537645	0	0	0	0x0x0
HS.537652	0	0	0	0x0x0
HS.537673	0	0	0	0x0x0
HS.537679	0	0	0	0x0x0
HS.537682	0	0	0	0x0x0
HS.537695	0	0	0	0x0x0
HS.537727	0	0	0	0x0x0
HS.537730	0	0	0	0x0x0
HS.537742	0	0	0	0x0x0
HS.537754	0	0	0	0x0x0
HS.537757	0	0	0	0x0x0
HS.537779	0	0	0	0x0x0
HS.537782	0	0	0	0x0x0
HS.537796	0	0	0	0x0x0
HS.537828	0	0	0	0x0x0
HS.537890	0	0	0	0x0x0
HS.537922	0	0	0	0x0x0
HS.537944	0	0	0	0x0x0
HS.537971	0	0	0	0x0x0
HS.537983	0	0	0	0x0x0
HS.537991	0	0	0	0x0x0
HS.538000	0	0	0	0x0x0
HS.538064	0	0	0	0x0x0
HS.538074	0	0	0	0x0x0
HS.538083	0	0	0	0x0x0
HS.538089	0	0	0	0x0x0
HS.538100	0	0	0	0x0x0
HS.538101	0	0	0	0x0x0
HS.538103	0	0	0	0x0x0
HS.538111	0	0	0	0x0x0
HS.538116	0	0	0	0x0x0
HS.538121	0	0	0	0x0x0
HS.538134	0	0	0	0x0x0
HS.538157	0	0	0	0x0x0
HS.538176	0	0	0	0x0x0
HS.538195	0	0	0	0x0x0
HS.538217	0	0	0	0x0x0
HS.538221	0	0	0	0x0x0
HS.538226	0	0	0	0x0x0
HS.538259	0	0	0	0x0x0
HS.538299	0	0	0	0x0x0
HS.538300	0	0	0	0x0x0
HS.538312	0	0	0	0x0x0
HS.538365	0	0	0	0x0x0
HS.538367	0	0	0	0x0x0
HS.538370	0	0	0	0x0x0
HS.538376	0	0	0	0x0x0
HS.538387	0	0	0	0x0x0
HS.538460	0	0	0	0x0x0
HS.538491	0	0	0	0x0x0
HS.538495	0	0	0	0x0x0
HS.538498	0	0	0	0x0x0
HS.538511	0	0	0	0x0x0
HS.538525	0	0	0	0x0x0
HS.538535	0	0	0	0x0x0
HS.538554	0	0	0	0x0x0
HS.538558	0	0	0	0x0x0
HS.538602	0	0	0	0x0x0
HS.538607	0	0	0	0x0x0
HS.538683	0	0	0	0x0x0
HS.538703	0	0	0	0x0x0
HS.538716	0	0	0	0x0x0
HS.538746	0	0	0	0x0x0
HS.538761	0	0	0	0x0x0
HS.538762	0	0	0	0x0x0
HS.538780	0	0	0	0x0x0
HS.538798	0	0	0	0x0x0
HS.538804	0	0	0	0x0x0
HS.538806	0	0	0	0x0x0
HS.538833	0	0	0	0x0x0
HS.538859	0	0	0	0x0x0
HS.538871	0	0	0	0x0x0
HS.538933	0	0	0	0x0x0
HS.538951	0	0	0	0x0x0
HS.538962	0	0	0	0x0x0
HS.538979	0	0	0	0x0x0
HS.538990	0	0	0	0x0x0
HS.539005	0	0	0	0x0x0
HS.539030	0	0	0	0x0x0
HS.539054	0	0	0	0x0x0
HS.539065	0	0	0	0x0x0
HS.539083	0	0	0	0x0x0
HS.539114	0	0	0	0x0x0
HS.539119	0	0	0	0x0x0
HS.539123	0	0	0	0x0x0
HS.539153	0	0	0	0x0x0
HS.539159	0	0	0	0x0x0
HS.539160	0	0	0	0x0x0
HS.539161	0	0	0	0x0x0
HS.539174	0	0	0	0x0x0
HS.539177	0	0	0	0x0x0
HS.539194	0	0	0	0x0x0
HS.539195	0	0	0	0x0x0
HS.539213	0	0	0	0x0x0
HS.539244	0	0	0	0x0x0
HS.539278	0	0	0	0x0x0
HS.539292	0	0	0	0x0x0
HS.539306	0	0	0	0x0x0
HS.539339	0	0	0	0x0x0
HS.539356	0	0	0	0x0x0
HS.539367	0	0	0	0x0x0
HS.539384	0	0	0	0x0x0
HS.539385	0	0	0	0x0x0
HS.539400	0	0	0	0x0x0
HS.539402	0	0	0	0x0x0
HS.539420	0	0	0	0x0x0
HS.539427	0	0	0	0x0x0
HS.539444	0	0	0	0x0x0
HS.539446	0	0	0	0x0x0
HS.539450	0	0	0	0x0x0
HS.539455	0	0	0	0x0x0
HS.539482	0	0	0	0x0x0
HS.539508	0	0	0	0x0x0
HS.539516	0	0	0	0x0x0
HS.539522	0	0	0	0x0x0
HS.539563	0	0	0	0x0x0
HS.539564	0	0	0	0x0x0
HS.539580	0	0	0	0x0x0
HS.539591	0	0	0	0x0x0
HS.539595	0	0	0	0x0x0
HS.539597	0	0	0	0x0x0
HS.539599	0	0	0	0x0x0
HS.539664	0	0	0	0x0x0
HS.539673	0	0	0	0x0x0
HS.539677	0	0	0	0x0x0
HS.539683	0	0	0	0x0x0
HS.539693	0	0	0	0x0x0
HS.539714	0	0	0	0x0x0
HS.539721	0	0	0	0x0x0
HS.539736	0	0	0	0x0x0
HS.539742	0	0	0	0x0x0
HS.539760	0	0	0	0x0x0
HS.539765	0	0	0	0x0x0
HS.539784	0	0	0	0x0x0
HS.539838	0	0	0	0x0x0
HS.539840	0	0	0	0x0x0
HS.539841	0	0	0	0x0x0
HS.539849	0	0	0	0x0x0
HS.539888	0	0	0	0x0x0
HS.539915	0	0	0	0x0x0
HS.539928	0	0	0	0x0x0
HS.539941	0	0	0	0x0x0
HS.539945	0	0	0	0x0x0
HS.539977	0	0	0	0x0x0
HS.539981	0	0	0	0x0x0
HS.539985	0	0	0	0x0x0
HS.539990	0	0	0	0x0x0
HS.540000	0	0	0	0x0x0
HS.540005	0	0	0	0x0x0
HS.540009	0	0	0	0x0x0
HS.540022	0	0	0	0x0x0
HS.540037	0	0	0	0x0x0
HS.540062	0	0	0	0x0x0
HS.540102	0	0	0	0x0x0
HS.540111	0	0	0	0x0x0
HS.540121	0	0	0	0x0x0
HS.540162	0	0	0	0x0x0
HS.540179	0	0	0	0x0x0
HS.540229	0	0	0	0x0x0
HS.540255	0	0	0	0x0x0
HS.540264	0	0	0	0x0x0
HS.540289	0	0	0	0x0x0
HS.540335	0	0	0	0x0x0
HS.540341	0	0	0	0x0x0
HS.540342	0	0	0	0x0x0
HS.540405	0	0	0	0x0x0
HS.540433	0	0	0	0x0x0
HS.540472	0	0	0	0x0x0
HS.540510	0	0	0	0x0x0
HS.540516	0	0	0	0x0x0
HS.540522	0	0	0	0x0x0
HS.540569	0	0	0	0x0x0
HS.540572	0	0	0	0x0x0
HS.540598	0	0	0	0x0x0
HS.540632	0	0	0	0x0x0
HS.540642	0	0	0	0x0x0
HS.540657	0	0	0	0x0x0
HS.540658	0	0	0	0x0x0
HS.540678	0	0	0	0x0x0
HS.540709	0	0	0	0x0x0
HS.540712	0	0	0	0x0x0
HS.540716	0	0	0	0x0x0
HS.540722	0	0	0	0x0x0
HS.540724	0	0	0	0x0x0
HS.540741	0	0	0	0x0x0
HS.540805	0	0	0	0x0x0
HS.540819	0	0	0	0x0x0
HS.540824	0	0	0	0x0x0
HS.540858	0	0	0	0x0x0
HS.540915	0	0	0	0x0x0
HS.540958	0	0	0	0x0x0
HS.540976	0	0	0	0x0x0
HS.540987	0	0	0	0x0x0
HS.541025	0	0	0	0x0x0
HS.541027	0	0	0	0x0x0
HS.541057	0	0	0	0x0x0
HS.541066	0	0	0	0x0x0
HS.541084	0	0	0	0x0x0
HS.541092	0	0	0	0x0x0
HS.541100	0	0	0	0x0x0
HS.541130	0	0	0	0x0x0
HS.541141	0	0	0	0x0x0
HS.541191	0	0	0	0x0x0
HS.541226	0	0	0	0x0x0
HS.541235	0	0	0	0x0x0
HS.541237	0	0	0	0x0x0
HS.541273	0	0	0	0x0x0
HS.541279	0	0	0	0x0x0
HS.541315	0	0	0	0x0x0
HS.541330	0	0	0	0x0x0
HS.541352	0	0	0	0x0x0
HS.541438	0	0	0	0x0x0
HS.541440	0	0	0	0x0x0
HS.541506	0	0	0	0x0x0
HS.541541	0	0	0	0x0x0
HS.541581	0	0	0	0x0x0
HS.541587	0	0	0	0x0x0
HS.541590	0	0	0	0x0x0
HS.541596	0	0	0	0x0x0
HS.541600	0	0	0	0x0x0
HS.541603	0	0	0	0x0x0
HS.541605	0	0	0	0x0x0
HS.541639	0	0	0	0x0x0
HS.541645	0	0	0	0x0x0
HS.541653	0	0	0	0x0x0
HS.541654	0	0	0	0x0x0
HS.541669	0	0	0	0x0x0
HS.541675	0	0	0	0x0x0
HS.541685	0	0	0	0x0x0
HS.541710	0	0	0	0x0x0
HS.541726	0	0	0	0x0x0
HS.541731	0	0	0	0x0x0
HS.541752	0	0	0	0x0x0
HS.541757	0	0	0	0x0x0
HS.541781	0	0	0	0x0x0
HS.541801	0	0	0	0x0x0
HS.541820	0	0	0	0x0x0
HS.541829	0	0	0	0x0x0
HS.541834	0	0	0	0x0x0
HS.541845	0	0	0	0x0x0
HS.541852	0	0	0	0x0x0
HS.541858	0	0	0	0x0x0
HS.541863	0	0	0	0x0x0
HS.541868	0	0	0	0x0x0
HS.541871	0	0	0	0x0x0
HS.541889	0	0	0	0x0x0
HS.541892	0	0	0	0x0x0
HS.541921	0	0	0	0x0x0
HS.541982	0	0	0	0x0x0
HS.541987	0	0	0	0x0x0
HS.542001	0	0	0	0x0x0
HS.542013	0	0	0	0x0x0
HS.542027	0	0	0	0x0x0
HS.542071	0	0	0	0x0x0
HS.542112	0	0	0	0x0x0
HS.542141	0	0	0	0x0x0
HS.542149	0	0	0	0x0x0
HS.542155	0	0	0	0x0x0
HS.542197	0	0	0	0x0x0
HS.542227	0	0	0	0x0x0
HS.542230	0	0	0	0x0x0
HS.542265	0	0	0	0x0x0
HS.542356	0	0	0	0x0x0
HS.542369	0	0	0	0x0x0
HS.542384	0	0	0	0x0x0
HS.542407	0	0	0	0x0x0
HS.542408	0	0	0	0x0x0
HS.542409	0	0	0	0x0x0
HS.542413	0	0	0	0x0x0
HS.542425	0	0	0	0x0x0
HS.542428	0	0	0	0x0x0
HS.542481	0	0	0	0x0x0
HS.542484	0	0	0	0x0x0
HS.542495	0	0	0	0x0x0
HS.542517	0	0	0	0x0x0
HS.542544	0	0	0	0x0x0
HS.542571	0	0	0	0x0x0
HS.542573	0	0	0	0x0x0
HS.542575	0	0	0	0x0x0
HS.542579	0	0	0	0x0x0
HS.542600	0	0	0	0x0x0
HS.542618	0	0	0	0x0x0
HS.542622	0	0	0	0x0x0
HS.542629	0	0	0	0x0x0
HS.542632	0	0	0	0x0x0
HS.542666	0	0	0	0x0x0
HS.542667	0	0	0	0x0x0
HS.542669	0	0	0	0x0x0
HS.542687	0	0	0	0x0x0
HS.542708	0	0	0	0x0x0
HS.542713	0	0	0	0x0x0
HS.542732	0	0	0	0x0x0
HS.542803	0	0	0	0x0x0
HS.542805	0	0	0	0x0x0
HS.542846	0	0	0	0x0x0
HS.542848	0	0	0	0x0x0
HS.542875	0	0	0	0x0x0
HS.542897	0	0	0	0x0x0
HS.542905	0	0	0	0x0x0
HS.542920	0	0	0	0x0x0
HS.542928	0	0	0	0x0x0
HS.542934	0	0	0	0x0x0
HS.542937	0	0	0	0x0x0
HS.542939	0	0	0	0x0x0
HS.542949	0	0	0	0x0x0
HS.542954	0	0	0	0x0x0
HS.542962	0	0	0	0x0x0
HS.542983	0	0	0	0x0x0
HS.542993	0	0	0	0x0x0
HS.543052	0	0	0	0x0x0
HS.543054	0	0	0	0x0x0
HS.543063	0	0	0	0x0x0
HS.543064	0	0	0	0x0x0
HS.543075	0	0	0	0x0x0
HS.543092	0	0	0	0x0x0
HS.543093	0	0	0	0x0x0
HS.543097	0	0	0	0x0x0
HS.543109	0	0	0	0x0x0
HS.543113	0	0	0	0x0x0
HS.543127	0	0	0	0x0x0
HS.543130	0	0	0	0x0x0
HS.543144	0	0	0	0x0x0
HS.543148	0	0	0	0x0x0
HS.543151	0	0	0	0x0x0
HS.543153	0	0	0	0x0x0
HS.543163	0	0	0	0x0x0
HS.543167	0	0	0	0x0x0
HS.543172	0	0	0	0x0x0
HS.543175	0	0	0	0x0x0
HS.543196	0	0	0	0x0x0
HS.543211	0	0	0	0x0x0
HS.543219	0	0	0	0x0x0
HS.543232	0	0	0	0x0x0
HS.543242	0	0	0	0x0x0
HS.543250	0	0	0	0x0x0
HS.543259	0	0	0	0x0x0
HS.543261	0	0	0	0x0x0
HS.543270	0	0	0	0x0x0
HS.543340	0	0	0	0x0x0
HS.543364	0	0	0	0x0x0
HS.543377	0	0	0	0x0x0
HS.543412	0	0	0	0x0x0
HS.543414	0	0	0	0x0x0
HS.543437	0	0	0	0x0x0
HS.543446	0	0	0	0x0x0
HS.543470	0	0	0	0x0x0
HS.543489	0	0	0	0x0x0
HS.543497	0	0	0	0x0x0
HS.543510	0	0	0	0x0x0
HS.543520	0	0	0	0x0x0
HS.543556	0	0	0	0x0x0
HS.543560	0	0	0	0x0x0
